WMO,ICAO,RAOB STATION NAME,ST,CO,EL,  LAT,N, LONG,E
67693,----,CHILEKA,,ZB,767,15.68,S,34.97,E
67741,FLSS,SESHEKE,,ZB,951,17.47,S,24.3,E
67761,----,KARIBA,,ZW,510,16.52,S,28.77,E
67774,----,HARARE/BELVEDERE,,ZW,1472,17.83,S,31.02,E
67775,----,HARARE AIRPORT,,ZW,1479,17.93,S,31.1,E
67781,----,MTOKO,,ZW,1259,17.42,S,32.22,E
67797,----,MAKANGA,,MW,58,16.52,S,35.15,E
67843,----,VICTORIA FALLS,,ZW,1062,18.1,S,25.85,E
67853,----,DETT,,ZW,1094,18.63,S,26.85,E
67861,----,GOKWE,,ZW,1282,18.22,S,28.93,E
67867,----,GWELO,,ZW,1429,19.45,S,29.85,E
67869,----,KADOMA,,ZW,1157,18.32,S,29.88,E
67881,----,RUSAPE,,ZW,1430,18.53,S,32.13,E
67964,----,BULAWAYO/GOETZ,,ZW,1344,20.15,S,28.62,E
67975,----,FORT VICTORIA,,ZW,1097,20.07,S,30.87,E
67977,----,BUFFALO RNAGE,,ZW,429,21.02,S,31.58,E
67991,----,BEITBRIDGE,,ZW,456,22.22,S,30,E
68010,----,OKAUKUEJO,,NM,1100,19.18,S,15.92,E
68014,----,GROOTFONTEIN,,NM,1411,19.6,S,18.12,E
68016,----,MOWE,,NM,0,19.33,S,12.72,E
68024,----,GHANZI,,BC,1131,21.7,S,21.65,E
68032,FBMN,MAUN,,BC,900,19.98,S,23.42,E
68040,FBLT,LETLHAKANE,,BC,985,21.42,S,25.6,E
68054,----,FRANCISTOWN,,BC,991,21.22,S,27.5,E
68098,----,WALVIS BAY AIRPORT,,BC,150,22.96,S,14.66,E
68110,FYWW,WINDHOEK/EROS(SAAF,,NM,1725,22.57,S,17.1,E
68112,----,STRIJDOM AIRPORT,,NM,1715,22.48,S,17.47,E
68155,FAER,ELLISRAS,,ZA,839,23.68,S,27.7,E
68174,FAPB,PIETERSBURG (SAAF),,ZA,1222,23.87,S,29.45,E
68240,FBSK,SIR SERETSE KHAMA,,BC,1005,24.22,S,25.92,E
68242,FAMM,MMABATHO INTL AIRP,,ZA,1277,25.78,S,25.53,E
68244,----,GABERONES,,ZA,983,24.67,S,25.92,E
68252,----,RUSTENBURG,,ZA,1200,25.72,S,27.3,E
68263,FAIR,PRETORIA/IRENE,,ZA,1500,25.92,S,28.22,E
68312,----,KEETMENSHOOP,,NM,1073,26.53,S,18.12,E
68328,FBTS,TSABONG,,BC,1000,26.05,S,22.45,E
68406,----,KORT DORN,,ZA,27,28.57,S,16.53,E
68424,FAUP,UPINGTON/PIERRE,,ZA,836,28.4,S,21.27,E
68438,----,KIMBERLEY,,ZA,1204,28.8,S,24.77,E
68442,FABL,BLOEMFONTEIN/HERTZ,,ZA,1348,29.1,S,26.3,E
68461,FABM,BETHLEHEM AIRPORT,,ZA,1682,28.25,S,28.33,E
68512,FASB,SPRINGBOK,,ZA,990,29.67,S,17.87,E
68530,----,DOUGLAS,,ZA,1000,29.07,S,23.75,E
68538,FADY,DEAAR(UA),,ZA,1287,30.67,S,24.02,E
68580,----,CEDARA,,ZA,1100,29.53,S,30.28,E
68588,FADN,DURBAN/LOUIS BOTHA,,ZA,8,29.97,S,30.95,E
68592,FALE,KING SHAKA INTL AI,,ZA,109,29.61,S,31.12,E
68715,----,MALMEBURY,,ZA,102,33.47,S,18.72,E
68816,FACT,CAPETOWN/DF MALAN,,ZA,42,33.98,S,18.6,E
68828,----,GEORGE,,ZA,218,33.97,S,22.42,E
68842,FAPE,PORT ELIZABETH,,ZA,60,33.98,S,23.6,E
68858,----,EAST LONDON,,ZA,130,33.03,S,27.83,E
68906,FAGE,GOUGH ISLAND,,ZA,0,40.35,S,9.88,W
68916,----,CAPE POINT,,ZA,226,34.35,S,18.5,E
68994,FAME,MARION ISLAND,,ZA,22,46.88,S,37.87,E
